|l1filename                                        |l1filepath                                                                 |l1propint |qobject                                           |object                                            |qra                 |qdec                |date_obs                     |exptime     |obsmode    |obstype    |program         |piname                                            |datalvl   |seeing    |airmass         |moonagl   |ra                    |dec                   |
|char                                              |char                                                                       |int       |char                                              |char                                              |char                |char                |char                         |double      |char       |char       |char            |char                                              |int       |double    |double          |double    |double                |double                |
|                                                  |                                                                           |months    |                                                  |                                                  |sexagesimal         |sexagesimal         |                             |s           |           |           |                |                                                  |          |arcsec    |secZ            |deg       |deg                   |deg                   |
|null                                              |null                                                                       |null      |null                                              |null                                              |null                |null                |null                         |null        |null       |null       |null            |null                                              |null      |null      |null            |null      |null                  |null                  |
 neidL1_20210116T061729.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T061729.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 06:17:29.000       59.836663    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1250           11.4601    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T061903.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T061903.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 06:19:03.000       59.794104    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3767           56.6168    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T062038.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T062038.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 06:20:38.000       59.782254    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3773           56.6172    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T065551.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T065551.fits                           0          -999999                                            Etalon Cal-HRSci                                   -999999              -999999              2021-01-16 06:55:51.000       59.813379    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2712           38.0375    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T065733.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T065733.fits                           0          -999999                                            LFC Cal-HRSci                                      -999999              -999999              2021-01-16 06:57:33.000       59.826290    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2659           38.0370    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T065908.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T065908.fits                           0          -999999                                            LFC Cal-HRSci                                      -999999              -999999              2021-01-16 06:59:08.000       59.848024    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2611           38.0364    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070042.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070042.fits                           0          -999999                                            LFC Cal-HRSci                                      -999999              -999999              2021-01-16 07:00:42.000       59.814390    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2563           38.0335    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070225.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070225.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:02:25.000       5.785561     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2513           38.0348    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070303.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070303.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:03:03.000       5.840627     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2493           38.0348    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070343.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070343.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:03:43.000       5.834277     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2474           38.0346    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070422.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070422.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:04:22.000       5.810740     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2455           38.0322    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070501.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070501.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:05:01.000       5.735172     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2436           38.0342    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070541.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070541.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:05:41.000       5.828448     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2417           38.0340    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070621.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070621.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:06:21.000       5.748390     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2398           38.0314    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070700.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070700.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:07:00.000       5.798085     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2379           38.0332    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070739.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070739.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:07:39.000       5.749428     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2361           38.0332    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070819.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070819.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:08:19.000       5.819007     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2342           38.0327    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070859.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070859.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:08:59.000       5.736622     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2324           38.0326    -9.99000000000000e+01  -9.99000000000000e+01  
